genotype	treatment	timepoint	replicate	total	hue	count
Col-0	CPB	11	1	1882747	0	0
Col-0	CPB	11	1	1882747	1	0
Col-0	CPB	11	1	1882747	2	0
Col-0	CPB	11	1	1882747	3	0
Col-0	CPB	11	1	1882747	4	0
Col-0	CPB	11	1	1882747	5	0
Col-0	CPB	11	1	1882747	6	0
Col-0	CPB	11	1	1882747	7	0
Col-0	CPB	11	1	1882747	8	0
Col-0	CPB	11	1	1882747	9	0
Col-0	CPB	11	1	1882747	10	0
Col-0	CPB	11	1	1882747	11	0
Col-0	CPB	11	1	1882747	12	0
Col-0	CPB	11	1	1882747	13	0
Col-0	CPB	11	1	1882747	14	0
Col-0	CPB	11	1	1882747	15	0
Col-0	CPB	11	1	1882747	16	0
Col-0	CPB	11	1	1882747	17	0
Col-0	CPB	11	1	1882747	18	0
Col-0	CPB	11	1	1882747	19	0
Col-0	CPB	11	1	1882747	20	0
Col-0	CPB	11	1	1882747	21	0
Col-0	CPB	11	1	1882747	22	0
Col-0	CPB	11	1	1882747	23	71
Col-0	CPB	11	1	1882747	24	89
Col-0	CPB	11	1	1882747	25	82
Col-0	CPB	11	1	1882747	26	159
Col-0	CPB	11	1	1882747	27	162
Col-0	CPB	11	1	1882747	28	235
Col-0	CPB	11	1	1882747	29	217
Col-0	CPB	11	1	1882747	30	110
Col-0	CPB	11	1	1882747	31	136
Col-0	CPB	11	1	1882747	32	176
Col-0	CPB	11	1	1882747	33	170
Col-0	CPB	11	1	1882747	34	192
Col-0	CPB	11	1	1882747	35	418
Col-0	CPB	11	1	1882747	36	443
Col-0	CPB	11	1	1882747	37	163
Col-0	CPB	11	1	1882747	38	274
Col-0	CPB	11	1	1882747	39	377
Col-0	CPB	11	1	1882747	40	327
Col-0	CPB	11	1	1882747	41	320
Col-0	CPB	11	1	1882747	42	1267
Col-0	CPB	11	1	1882747	43	3832
Col-0	CPB	11	1	1882747	44	6981
Col-0	CPB	11	1	1882747	45	12574
Col-0	CPB	11	1	1882747	46	21148
Col-0	CPB	11	1	1882747	47	38966
Col-0	CPB	11	1	1882747	48	69590
Col-0	CPB	11	1	1882747	49	124250
Col-0	CPB	11	1	1882747	50	269337
Col-0	CPB	11	1	1882747	51	326482
Col-0	CPB	11	1	1882747	52	407169
Col-0	CPB	11	1	1882747	53	250474
Col-0	CPB	11	1	1882747	54	152175
Col-0	CPB	11	1	1882747	55	94853
Col-0	CPB	11	1	1882747	56	42035
Col-0	CPB	11	1	1882747	57	22917
Col-0	CPB	11	1	1882747	58	13815
Col-0	CPB	11	1	1882747	59	6923
Col-0	CPB	11	1	1882747	60	2389
Col-0	CPB	11	1	1882747	61	2740
Col-0	CPB	11	1	1882747	62	1433
Col-0	CPB	11	1	1882747	63	1012
Col-0	CPB	11	1	1882747	64	851
Col-0	CPB	11	1	1882747	65	728
Col-0	CPB	11	1	1882747	66	483
Col-0	CPB	11	1	1882747	67	338
Col-0	CPB	11	1	1882747	68	434
Col-0	CPB	11	1	1882747	69	240
Col-0	CPB	11	1	1882747	70	208
Col-0	CPB	11	1	1882747	71	190
Col-0	CPB	11	1	1882747	72	225
Col-0	CPB	11	1	1882747	73	223
Col-0	CPB	11	1	1882747	74	188
Col-0	CPB	11	1	1882747	75	172
Col-0	CPB	11	1	1882747	76	162
Col-0	CPB	11	1	1882747	77	255
Col-0	CPB	11	1	1882747	78	126
Col-0	CPB	11	1	1882747	79	50
Col-0	CPB	11	1	1882747	80	171
Col-0	CPB	11	1	1882747	81	98
Col-0	CPB	11	1	1882747	82	71
Col-0	CPB	11	1	1882747	83	175
Col-0	CPB	11	1	1882747	84	135
Col-0	CPB	11	1	1882747	85	109
Col-0	CPB	11	1	1882747	86	72
Col-0	CPB	11	1	1882747	87	99
Col-0	CPB	11	1	1882747	88	122
Col-0	CPB	11	1	1882747	89	133
Col-0	CPB	11	1	1882747	90	78
Col-0	CPB	11	1	1882747	91	125
Col-0	CPB	11	1	1882747	92	2
Col-0	CPB	11	1	1882747	93	1
Col-0	CPB	11	1	1882747	94	0
Col-0	CPB	11	1	1882747	95	0
Col-0	CPB	11	1	1882747	96	0
Col-0	CPB	11	1	1882747	97	0
Col-0	CPB	11	1	1882747	98	0
Col-0	CPB	11	1	1882747	99	0
Col-0	CPB	11	1	1882747	100	0
Col-0	CPB	11	1	1882747	101	0
Col-0	CPB	11	1	1882747	102	0
Col-0	CPB	11	1	1882747	103	0
Col-0	CPB	11	1	1882747	104	0
Col-0	CPB	11	1	1882747	105	0
Col-0	CPB	11	1	1882747	106	0
Col-0	CPB	11	1	1882747	107	0
Col-0	CPB	11	1	1882747	108	0
Col-0	CPB	11	1	1882747	109	0
Col-0	CPB	11	1	1882747	110	0
Col-0	CPB	11	1	1882747	111	0
Col-0	CPB	11	1	1882747	112	0
Col-0	CPB	11	1	1882747	113	0
Col-0	CPB	11	1	1882747	114	0
Col-0	CPB	11	1	1882747	115	0
Col-0	CPB	11	1	1882747	116	0
Col-0	CPB	11	1	1882747	117	0
Col-0	CPB	11	1	1882747	118	0
Col-0	CPB	11	1	1882747	119	0
Col-0	CPB	11	1	1882747	120	0
Col-0	CPB	11	1	1882747	121	0
Col-0	CPB	11	1	1882747	122	0
Col-0	CPB	11	1	1882747	123	0
Col-0	CPB	11	1	1882747	124	0
Col-0	CPB	11	1	1882747	125	0
Col-0	CPB	11	1	1882747	126	0
Col-0	CPB	11	1	1882747	127	0
Col-0	CPB	11	1	1882747	128	0
Col-0	CPB	11	1	1882747	129	0
Col-0	CPB	11	1	1882747	130	0
Col-0	CPB	11	1	1882747	131	0
Col-0	CPB	11	1	1882747	132	0
Col-0	CPB	11	1	1882747	133	0
Col-0	CPB	11	1	1882747	134	0
Col-0	CPB	11	1	1882747	135	0
Col-0	CPB	11	1	1882747	136	0
Col-0	CPB	11	1	1882747	137	0
Col-0	CPB	11	1	1882747	138	0
Col-0	CPB	11	1	1882747	139	0
Col-0	CPB	11	1	1882747	140	0
Col-0	CPB	11	1	1882747	141	0
Col-0	CPB	11	1	1882747	142	0
Col-0	CPB	11	1	1882747	143	0
Col-0	CPB	11	1	1882747	144	0
Col-0	CPB	11	1	1882747	145	0
Col-0	CPB	11	1	1882747	146	0
Col-0	CPB	11	1	1882747	147	0
Col-0	CPB	11	1	1882747	148	0
Col-0	CPB	11	1	1882747	149	0
Col-0	CPB	11	1	1882747	150	0
Col-0	CPB	11	1	1882747	151	0
Col-0	CPB	11	1	1882747	152	0
Col-0	CPB	11	1	1882747	153	0
Col-0	CPB	11	1	1882747	154	0
Col-0	CPB	11	1	1882747	155	0
Col-0	CPB	11	1	1882747	156	0
Col-0	CPB	11	1	1882747	157	0
Col-0	CPB	11	1	1882747	158	0
Col-0	CPB	11	1	1882747	159	0
Col-0	CPB	11	1	1882747	160	0
Col-0	CPB	11	1	1882747	161	0
Col-0	CPB	11	1	1882747	162	0
Col-0	CPB	11	1	1882747	163	0
Col-0	CPB	11	1	1882747	164	0
Col-0	CPB	11	1	1882747	165	0
Col-0	CPB	11	1	1882747	166	0
Col-0	CPB	11	1	1882747	167	0
Col-0	CPB	11	1	1882747	168	0
Col-0	CPB	11	1	1882747	169	0
Col-0	CPB	11	1	1882747	170	0
Col-0	CPB	11	1	1882747	171	0
Col-0	CPB	11	1	1882747	172	0
Col-0	CPB	11	1	1882747	173	0
Col-0	CPB	11	1	1882747	174	0
Col-0	CPB	11	1	1882747	175	0
Col-0	CPB	11	1	1882747	176	0
Col-0	CPB	11	1	1882747	177	0
Col-0	CPB	11	1	1882747	178	0
Col-0	CPB	11	1	1882747	179	0
Col-0	CPB	13	1	2265192	0	0
Col-0	CPB	13	1	2265192	1	0
Col-0	CPB	13	1	2265192	2	0
Col-0	CPB	13	1	2265192	3	0
Col-0	CPB	13	1	2265192	4	0
Col-0	CPB	13	1	2265192	5	0
Col-0	CPB	13	1	2265192	6	0
Col-0	CPB	13	1	2265192	7	0
Col-0	CPB	13	1	2265192	8	0
Col-0	CPB	13	1	2265192	9	0
Col-0	CPB	13	1	2265192	10	0
Col-0	CPB	13	1	2265192	11	0
Col-0	CPB	13	1	2265192	12	0
Col-0	CPB	13	1	2265192	13	0
Col-0	CPB	13	1	2265192	14	0
Col-0	CPB	13	1	2265192	15	0
Col-0	CPB	13	1	2265192	16	0
Col-0	CPB	13	1	2265192	17	0
Col-0	CPB	13	1	2265192	18	0
Col-0	CPB	13	1	2265192	19	0
Col-0	CPB	13	1	2265192	20	5
Col-0	CPB	13	1	2265192	21	21
Col-0	CPB	13	1	2265192	22	162
Col-0	CPB	13	1	2265192	23	481
Col-0	CPB	13	1	2265192	24	521
Col-0	CPB	13	1	2265192	25	512
Col-0	CPB	13	1	2265192	26	789
Col-0	CPB	13	1	2265192	27	655
Col-0	CPB	13	1	2265192	28	462
Col-0	CPB	13	1	2265192	29	385
Col-0	CPB	13	1	2265192	30	239
Col-0	CPB	13	1	2265192	31	399
Col-0	CPB	13	1	2265192	32	517
Col-0	CPB	13	1	2265192	33	750
Col-0	CPB	13	1	2265192	34	992
Col-0	CPB	13	1	2265192	35	1427
Col-0	CPB	13	1	2265192	36	1089
Col-0	CPB	13	1	2265192	37	533
Col-0	CPB	13	1	2265192	38	664
Col-0	CPB	13	1	2265192	39	619
Col-0	CPB	13	1	2265192	40	453
Col-0	CPB	13	1	2265192	41	931
Col-0	CPB	13	1	2265192	42	5587
Col-0	CPB	13	1	2265192	43	15418
Col-0	CPB	13	1	2265192	44	22962
Col-0	CPB	13	1	2265192	45	36945
Col-0	CPB	13	1	2265192	46	54940
Col-0	CPB	13	1	2265192	47	94730
Col-0	CPB	13	1	2265192	48	158564
Col-0	CPB	13	1	2265192	49	234437
