Healthy	Unhealthy	Background_Blue	Background_Dark
67,135,34	205,184,131	64,110,206	4,8,11
67,135,34	203,182,125	65,109,204	6,7,11
64,135,33	204,183,126	68,111,206	4,8,11
71,138,43	183,159,99	54,99,192	21,21,13
70,140,44	185,159,100	56,101,194	19,18,13
68,140,41	182,153,95	55,99,194	18,17,13
84,150,50	188,164,120	84,102,176	6,7,9
85,151,51	192,165,122	90,108,182	7,7,9
88,154,54	196,169,126	75,94,170	7,7,7
80,132,66	201,182,150	63,106,198	15,15,15
84,135,66	201,182,150	89,127,212	17,15,18
86,137,68	198,179,146	103,136,217	18,16,19
65,133,34	187,174,80	58,95,186	14,14,16
62,133,31	184,174,76	56,93,184	14,14,16
63,134,30	185,175,78	57,92,184	13,13,15
70,137,40	159,116,74	77,117,212	12,12,10
69,139,43	166,123,80	77,117,215	10,10,10
67,139,40	175,137,92	80,123,218	9,9,9
81,149,48	201,195,73	70,116,212	9,8,6
81,149,48	198,196,75	76,120,215	12,8,9
86,154,55	200,197,80	78,120,218	12,8,9
84,134,71	204,183,128	56,99,193	4,8,11
87,140,72	204,183,126	57,100,194	6,7,11
92,143,74	205,184,127	55,98,193	4,8,11
63,131,32	184,158,97	68,87,163	26,26,18
59,130,28	184,158,97	73,92,168	24,23,18
59,130,26	183,154,94	67,86,163	21,20,16
70,137,40	187,160,115	54,97,192	6,7,9
68,138,42	189,162,117	74,111,199	7,7,9
65,137,38	192,165,118	90,122,205	7,7,7
77,145,44	201,182,150	60,97,188	14,14,14
80,148,47	201,185,152	58,95,186	15,13,16
84,152,53	195,179,146	58,93,185	16,14,17
88,138,75	187,177,80	76,116,212	15,15,17
90,143,75	187,179,80	77,120,215	12,12,14
93,144,75	186,178,79	92,135,227	11,11,13
92,151,61	161,117,72	69,113,210	11,11,9
84,143,53	166,124,76	73,117,212	10,10,10
78,136,49	175,135,86	76,120,217	9,9,9
76,139,48	200,196,70	58,101,193	10,9,7
80,139,49	200,196,73	56,99,191	12,8,9
83,142,50	201,196,78	55,98,192	12,8,9
72,140,39	203,182,127	58,77,153	4,8,11
74,142,43	204,183,128	61,80,156	3,7,10
75,142,45	206,185,130	60,79,156	3,7,10
63,136,29	187,161,100	50,92,190	31,31,21
64,137,30	186,160,99	64,101,190	28,28,20
65,136,30	186,157,97	79,114,198	24,23,18
99,151,87	190,162,115	58,98,186	7,7,7
97,149,83	191,163,116	60,97,186	8,8,8
93,145,79	193,165,117	60,97,186	9,8,6
75,137,40	199,180,148	76,116,212	17,17,17
77,138,45	197,180,150	80,123,217	15,13,16
79,139,43	193,176,146	92,135,227	15,13,16
95,151,62	188,178,81	50,76,161	15,15,17
83,142,52	188,180,81	45,71,156	14,14,16
76,134,47	188,180,82	54,79,163	12,12,14
74,139,47	169,122,78	65,99,173	10,10,8
77,137,47	170,126,79	69,101,178	9,9,9
75,138,47	176,136,87	66,97,177	9,9,9
73,141,42	200,196,70	72,115,217	11,10,8
76,143,46	197,193,68	74,118,215	12,8,9
78,145,50	198,193,73	78,122,219	12,8,9
63,139,31	183,164,131	89,129,217	5,6,10
67,140,32	184,161,127	78,119,211	3,7,10
64,137,29	184,160,126	80,123,215	0,5,8
98,150,86	166,142,106	49,71,144	10,10,12
95,147,81	168,144,108	44,66,141	10,10,10
94,146,80	169,145,109	36,60,132	10,10,10
78,139,44	200,178,141	63,106,200	7,15,18
80,139,47	199,177,140	65,108,202	9,19,29
81,140,46	196,174,135	66,111,204	19,31,47
92,148,61	192,182,85	46,72,157	8,13,17
83,142,52	194,184,86	42,68,155	9,14,18
79,137,50	195,186,91	50,76,160	11,16,20
72,137,47	206,192,157	58,91,168	16,15,20
74,134,44	203,189,154	64,95,175	18,19,21
72,135,44	201,187,152	63,94,176	24,24,24
74,142,43	164,142,69	70,113,215	12,10,11
78,145,48	167,144,74	75,119,216	10,10,10
80,147,52	167,144,74	80,124,221	9,9,9
67,143,35	169,145,75	76,120,209	5,9,12
67,140,32	172,148,78	75,118,210	8,9,11
64,137,29	175,151,79	82,125,217	9,9,11
99,151,87	189,168,137	47,71,145	5,6,10
98,150,84	187,164,130	42,66,140	3,7,10
95,147,81	186,162,128	36,60,134	2,7,10
77,138,43	168,142,105	64,109,200	10,10,12
80,139,49	166,142,104	66,111,202	9,9,9
79,138,44	166,142,104	68,113,204	8,8,8
70,113,41	199,177,140	44,70,157	10,17,23
71,114,43	198,174,136	42,67,157	12,24,38
73,116,47	196,172,134	45,71,156	26,37,57
97,150,68	192,184,86	51,84,165	8,13,17
99,152,74	194,185,92	52,85,166	9,14,18
99,151,76	194,187,97	52,87,169	11,16,20
74,143,52	204,190,155	68,111,213	15,14,19
72,141,48	201,188,153	76,120,217	17,18,20
70,139,46	201,188,153	82,126,223	23,23,23
81,141,53	164,142,69	72,115,209	12,10,11
82,140,56	166,142,72	69,112,207	10,10,10
80,139,55	167,144,74	70,113,208	8,8,8
78,140,43	173,146,75	50,74,148	5,9,12
80,139,45	176,149,78	44,68,142	8,9,11
82,141,51	180,154,80	39,63,137	9,9,11
74,138,52	189,168,137	66,111,202	3,4,8
73,137,51	191,168,134	68,113,204	3,7,10
73,137,51	186,162,128	68,113,204	3,8,11
72,115,44	173,147,110	56,93,181	6,10,9
71,114,45	170,144,107	69,106,195	6,7,9
73,116,47	166,140,103	79,114,204	5,9,10
98,151,69	196,174,137	83,122,215	13,24,30
